communitydistrict,population_2010
201,91497
202,52246
203,79762
204,146441
205,128200
206,83268
207,139286
208,101731
209,172298
210,120392
211,113232
212,152344
301,173083
302,99617
303,152985
304,112634
305,182896
306,104709
307,126230
308,96317
309,98429
310,124491
311,181981
312,191382
313,104278
314,160664
315,159650
316,86468
317,155252
318,193543
101,60978
102,90016
103,163277
104,103245
105,51673
106,142745
107,209084
108,219920
109,110193
110,115723
111,120511
112,190020
401,191105
402,113200
403,171576
404,172598
405,169190
406,113257
407,247354
408,151107
409,143317
410,122396
411,116431
412,225919
413,188593
414,114978
501,175756
502,132003
503,160209
